"Alpha","Beta","TAS","LatA","Main","LatB","initial number of faces","current local number of faces","final number of faces","Using less than all procs for small problem size","number of faces","Estimated number of core poly cells","final number of cells","Marked Special Edges ","Marked Special Verts ","presetSharpEdges            ","presetSharpCorners          ","presetIrregularSharpCorners ","User defined sharp edges ","Number of cells in prismatic layers","final number of polyhedral cells","Cells","Faces","Verts","Time to export (s)","angle","Relative residual","Iteration_avg","Continuity_avg","X-momentum_avg","Y-momentum_avg","Z-momentum_avg","Tke_avg","Sdr_avg","FX_Droid (N)_avg","FX_Fwd (N)_avg","FX_Main (N)_avg","FX_Rear (N)_avg","FY_Droid (N)_avg","FY_Fwd (N)_avg","FY_Main (N)_avg","FY_Rear (N)_avg","FZ_Droid (N)_avg","FZ_Fwd (N)_avg","FZ_Main (N)_avg","FZ_Rear (N)_avg","MX_Droid (N-m)_avg","MX_Fwd (N-m)_avg","MX_Main (N-m)_avg","MX_Rear (N-m)_avg","MY_Droid (N-m)_avg","MY_Fwd (N-m)_avg","MY_Main (N-m)_avg","MY_Rear (N-m)_avg","MZ_Droid (N-m)_avg","MZ_Fwd (N-m)_avg","MZ_Main (N-m)_avg","MZ_Rear (N-m)_avg","ST_Fwd_avg","ST_Main (N-m)_avg","ST_Rear (N-m)_avg","Vexit_Fwd (m/s)_avg","Vexit_Rear (m/s)_avg","Vexit_Main (m/s)_avg","MDot_Fwd (kg/s)_avg","MDot_Main (kg/s)_avg","MDot_Rear (kg/s)_avg","00_alpha_avg","00_beta_avg","00_FwdLateral_rads_avg","00_Main_rads_avg","00_TrueAirspeed_avg","00_RearLateral_rads_avg","etaProp_Fwd_avg","etaProp_Rear_avg","etaProp_Main_avg","Paero_Fwd_avg","Paero_Main_avg","Paero_Rear_avg","Pshaft_Fwd_avg","Pshaft_Main_avg","Pshaft_Rear_avg","Fx","Fy","Fz","Mx","My","Mz","Cx","Cy","Cz","Cmx","Cmy","Cmz","Aref_x","Aref_y","Aref_z","L_ref"
"-180","0","22.4","0","0","0","703238","900000","875126","13","4641","1421655","7186720","0","0","0","0","0","0","5141107","9533","5147962","20819252","10861579","40.3818","1.5707963267948966","nan","700.5","0.012367994700000001","0.0177960053","0.0254126394","0.022810538999999998","0.00255284419","0.00000312644785","4.8265503999999995","-0.0000229143707","5.8842829000000005","0","0.05224097643","0.00039480475704","-0.0747959195","0","-3.32686401","-0.00013606979474","0.1290402642","0","0.0854628946","0.000018092056254","-0.289032454","0","-0.0428948304","0.000032961301","-0.290273538","0","0.10616311960000001","0.00009601992937599999","0.007714062337999999","0","-0.0000043457981483","-0.28543094","0","0","0","12.4056731","0","-0.00032012139269999994","0","-3.141593","0","0","0","22.4","0","0","0","473157316.4","0","0.047315731640000004","0","0","0","0","10.7108103856293","-0.02216013831296","-3.19795981559474","-0.203551467343746","-0.333135407099","0.11397320186737601","0.37717962995995946","-0.00036977345031450573","-0.053090253761897487","-0.010254700026008708","-0.007952558583272944","0.002706869834682577","0.0924","0.195","0.196","0.699"
"-90","0","22.4","0","0","0","703238","900000","875126","13","4243","1421167","7183545","0","0","0","0","0","0","5141198","9893","5148089","20820470","10862985","36.1011","0.5235987755982988","nan","700.5","0.00794850488","0.0264238114","0.0224741231","0.013008466679999999","0.00547926091","0.000005233739689999999","4.58297672","0.01001093798","-0.643150405","0","-0.564465003","-0.0115054479","-0.0108665632236","0","23.7926867","-0.000971190014","1.0253407079999999","0","0.0409038265","-0.000551583339","0.0223343928","0","1.30658051","-0.000164341181522","0.382250647","0","0.1142147417","-0.00284979507","0.0454238679","0","0.000245912373","0.025142401300000002","0","0","0","-1.9815913699999999","0","-0.00007183682253","0","-1.570796","0","0","0","22.4","0","0","0","4087854.0377999996","0","0.00040878540378","0","0","0","0","3.9498372529799997","-0.5868370141236","24.817056217986","0.06268663596099999","1.688666815818478","0.15678881453","0.13909294440315387","-0.009792210879741615","0.41199511194956107","0.003158084074796112","0.04031160151173778","0.0037237429984704295","0.0924","0.195","0.196","0.699"
"-30","-90","22.4","0","0","0","703238","900000","875126","13","4162","1421718","7187009","0","0","0","0","0","0","5141309","8833","5147500","20815457","10858266","31.6113","0.5235987755982988","nan","700.5","0.126829726","0.418164106","0.193071621","0.38739815499999997","0.053152833399999995","0.00000722705447","11.428008","-0.0294666902","-0.8538510050000001","0","37.710172400000005","0.452966953","1.31145851","0","9.14153618","0.0501822792","-0.114874855","0","0.524336865","0.0171383532","0.1056678711","0","-0.96107376","-0.0194447398","0.0591622296","0","-1.44661994","0.11331165199999998","-0.437871731","0","-0.00835720889","0.0352836031","0","0","0","-3.67402362","0","0.000077292638956","0","-0.5235988","-1.570796","0","0","22.4","0","0","0","57401771.8054","0","0.0057401771805400004","0","0","0","0","10.5446903048","39.47459786300001","9.076843604199999","0.6471430893","-0.9213562702","-1.771180019","0.3713297354739007","0.6586898531694861","0.1506873000574006","0.03260236018573688","-0.021994478997706485","-0.04206562320502783","0.0924","0.195","0.196","0.699"
"-30","-60","22.4","0","0","0","703238","900000","875126","13","3827","1421579","7185508","0","0","0","0","0","0","5141213","8712","5147728","20816409","10858369","30.3284","0.5235987755982988","nan","700.5","0.00390267565","0.0075365908","0.0055349423600000005","0.00695209301","0.00133627667","0.0000025997657400000003","-1.3351752300000002","-0.0156037978","-1.85068991","0","31.2589019","0.543975538","1.85810393","0","28.810205999999997","-0.0101677639","0.21741857","0","0.405600764","0.0213228265","0.18920406","0","-2.17532059","-0.00689996754","0.267137607","0","-0.516963892","0.134905207","-0.634186166","0","-0.010097538699999999","0.088963333","0","0","0","-7.25915543","0","0.000140103286536","0","-0.5235988","-1.047198","0","0","22.4","0","0","0","46347465.537","0","0.0046347465537","0","0","0","0","-3.2014689378","33.660981368","29.017456806099997","0.6161276505","-1.9150829505400002","-1.016244851","-0.11273926302605923","0.5616813868954176","0.48172717425914424","0.031039836342408745","-0.045716573595764955","-0.02413587129915316","0.0924","0.195","0.196","0.699"
"-30","-30","22.4","0","0","0","703238","900000","875126","13","4076","1421183","7185307","0","0","0","0","0","0","5141086","10253","5148028","20820491","10863304","29.5086","0.5235987755982988","nan","700.5","0.0514881953","0.1039999826","0.0830761998","0.0882626616","0.0204201539","0.00000751837464","-18.2131522","0.0239804922","-2.6591562","0","19.8498734","0.385096736","1.72660761","0","17.0835276","-0.0656593383","1.13188083","0","0.251156147","0.016262597599999998","0.211395367","0","-1.089104084","0.00903519018","0.63567123","0","-1.24828304","0.0945588018","-0.559171789","0","-0.007181781430000001","0.119883319","0","0","0","-10.09756698","0","-0.00014674573641","0","-0.5235988","-0.5235988","0","0","22.4","0","0","0","148864612.819","0","0.0148864612819","0","0","0","0","-20.848327907799998","21.961577746","18.1497490917","0.4788141116","-0.4443976638199999","-1.7128960272","-0.7341708351123878","0.366460184625263","0.3013092223030078","0.024122130617638685","-0.010608594524892196","-0.04068137518300691","0.0924","0.195","0.196","0.699"
"-30","0","22.4","0","0","0","703238","900000","875126","13","4100","1420624","7179235","0","0","0","0","0","0","5141085","9528","5147936","20818772","10860950","25.6116","0.5235987755982988","nan","700.5","0.024622175899999998","0.0554722936","0.0752861965","0.0380026602","0.00953553048","0.00000437850082","-16.2847136","-0.0102621837","-2.29744476","0","-2.32380734","0.00168235878","-0.010331097546","0","10.15540661","0.002119336894","1.6590175999999999","0","-0.120238211","-0.00016697095799999998","0.09057858510000001","0","-0.692020052","0.00009726586698000001","0.719819147","0","-0.1269599094","0.000496463652","0.080846364","0","-0.0000322505004","0.0953443383","0","0","0","-9.8460848","0","-0.000044374080518","0","-0.5235988","0","0","0","22.4","0","0","0","55351415.11399999","0","0.0055351415114","0","0","0","0","-18.5924205437","-2.332456078766","11.816543546894","-0.029826596857999987","0.027896360866979997","-0.045617081747999985","-0.6547293853826069","-0.038920349673446694","0.19616984942521692","-0.0015026312881299953","0.0006659377518188974","-0.0010834082091823326","0.0924","0.195","0.196","0.699"
"-30","30","22.4","0","0","0","703238","900000","875126","13","4818","1421392","7183150","0","0","0","0","0","0","5141228","9484","5148057","20819736","10862320","24.6222","0.5235987755982988","nan","700.5","0.0457138711","0.0967800637","0.065621477","0.0856154779","0.01679268622","0.0000043221135699999996","-17.521008899999998","0.046604148399999996","-2.80225469","0","-20.782651700000002","-0.35343769","-1.8043086400000001","0","17.4746008","0.031630933300000004","1.19668227","0","-0.270247477","-0.014901331200000001","0.0157559886","0","-0.9952831329999999","-0.0043580447","0.507816876","0","1.32560041","-0.0868355474","0.6965961350000001","0","0.0066016407","0.11729239500000001","0","0","0","-10.1845493","0","0.00002153733901","0","-0.5235988","0.5235988","0","0","22.4","0","0","0","92538717.605","0","0.0092538717605","0","0","0","0","-20.2766594416","-22.940398030000004","18.702914003300002","-0.2693928196","-0.4918243016999999","1.9353609976000001","-0.7140396132180675","-0.38279319430872827","0.31049247263211177","-0.013571715253191747","-0.01174075612678487","0.04596493050814412","0.0924","0.195","0.196","0.699"
"-30","60","22.4","0","0","0","703238","900000","875126","13","4051","1421144","7183888","0","0","0","0","0","0","5141078","9634","5147817","20818511","10861163","23.4598","0.5235987755982988","nan","700.5","0.0108990142","0.0200520709","0.0151488478","0.0208629765","0.0045035081","0.00000371297244","-2.48783743","0.0139581723","-1.5078484699999999","0","-30.8072775","-0.499418536","-2.04555712","0","27.553782599999998","-0.00797835758","0.365366793","0","-0.387192347","-0.0202588667","-0.0512716865","0","-1.6263344100000001","0.0110197773","0.10821436999999999","0","0.628985449","-0.123927165","0.7391324210000001","0","0.00947680404","0.0611060534","0","0","0","-6.767058939999999","0","0.00005423069899","0","-0.5235988","1.047198","0","0","22.4","0","0","0","48751077.88","0","0.0048751077879999995","0","0","0","0","-3.9817277276999996","-33.352253156","27.911171035419997","-0.4587229002","-1.5071002627","1.244190705","-0.14021596283229865","-0.556529817236942","0.4633614049295335","-0.023109957388161566","-0.03597727192782617","0.029549597912287617","0.0924","0.195","0.196","0.699"
"-30","90","22.4","0","0","0","703238","900000","875126","13","3574","1421359","7184617","0","0","0","0","0","0","5141198","8567","5147622","20815378","10856898","22.8846","0","10228.84","700.5","0.1093005369","0.347319033","0.177455337","0.340343903","0.044113950299999996","0.0000069889830099999995","10.732386859999998","-0.021803576300000002","-0.967331372","0","-37.7527956","-0.425146146","-1.51365266","0","9.51406722","-0.0518502048","-0.0415306633","0","-0.47210228800000004","-0.0173706703","-0.038718736","0","-0.8569718980000001","0.022017133","-0.0301324954","0","1.78002451","-0.106312723","0.519923822","0","0.00801762292","0.0431102951","0","0","0","-3.41407098","0","0.00015326409916","0","-0.5235988","1.570796","0","0","22.4","0","0","0","43242323.158","0","0.0043242323158","0","0","0","0","9.743251911699998","-39.691594406","9.420686351899999","-0.5281916943","-0.8650872604000001","2.193635609","0.34310719902131437","-0.6623107493605763","0.15639553273767468","-0.02660971916320706","-0.020651233616634526","0.05209896678341298","0.0924","0.195","0.196","0.699"
"0","-90","22.4","0","0","0","703238","900000","875126","13","3827","1421579","7185423","0","0","0","0","0","0","5141213","8270","5147535","20814465","10856377","21.3024","0","nan","700.5","0.1240543379","0.38279682600000003","0.184073068","0.35686024099999997","0.047086274899999996","0.00000661046676","11.376211060000001","-0.0294764513","-0.862826187","0","37.666471200000004","0.453650823","1.3121491900000002","0","8.97363628","0.0500837019","-0.1138584309","0","0.520938355","0.0171238958","0.10611246599999999","0","-0.936892029","-0.0194278575","0.0601069022","0","-1.45588732","0.113489589","-0.438002548","0","-0.00837046434","0.0356936564","0","0","0","-3.6841176300000003","0","0.00005409675930000001","0","0","-1.570796","0","0","22.4","0","0","0","45716087.33","0","0.004571608733","0","0","0","0","10.4839084217","39.43227121300001","8.909861550999999","0.6441747167999999","-0.8962129843","-1.780400279","0.36918931030059293","0.6579835727668227","0.14791518280475716","0.03245281682969932","-0.02139426223949108","-0.04228460488890623","0.0924","0.195","0.196","0.699"
